K8E1_B2_12,E1_Sap_xep_du_lieu,Khi bôi đen vùng dữ liệu để sắp xếp nếu em QUÊN bôi đen cột "Số thứ tự" (STT) thì điều gì sẽ xảy ra sau khi sắp xếp?,Cột STT vẫn giữ nguyên thứ tự 1 2 3... (đúng ý muốn),Cột STT sẽ bị đảo lộn theo tên (sai ý muốn),Máy tính sẽ tự động thêm cột STT mới,Không sắp xếp được,A,Vận dụng,Tin 8 - Chủ đề E1 - Bài 2
q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8E1_B3_01,E1_Bieu_do,Mục đích chính của việc vẽ biểu đồ (Chart) trong bảng tính là gì?,Để tính toán số liệu nhanh hơn,Để trực quan hóa dữ liệu giúp dễ dàng so sánh dự đoán xu hướng và nhận xét,Để làm đẹp cho bảng tính,Để sắp xếp dữ liệu,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_02,E1_Bieu_do,Loại biểu đồ nào thích hợp nhất để so sánh dữ liệu giữa các cột (ví dụ: So sánh dân số các nước)?,Biểu đồ hình tròn (Pie),Biểu đồ đường (Line),Biểu đồ cột (Column),Biểu đồ miền (Area),C,Nhận biết,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_03,E1_Bieu_do,Biểu đồ hình tròn (Pie Chart) thường được dùng để làm gì?,Thể hiện tỉ lệ phần trăm của từng thành phần trong tổng thể,Thể hiện sự thay đổi của dữ liệu theo thời gian,So sánh độ lớn của dữ liệu,Đếm số lượng dữ liệu,A,Nhận biết,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_04,E1_Bieu_do,Để tạo biểu đồ ta vào dải lệnh (Tab) nào trong Excel?,Home,Insert,Data,View,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_05,E1_Bieu_do,Thành phần "Chart Title" trên biểu đồ là gì?,Chú giải cho các màu sắc,Tên (Tiêu đề) của biểu đồ,Trục ngang,Trục dọc,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_06,E1_Bieu_do,Muốn thể hiện xu hướng tăng trưởng doanh thu của công ty qua 10 năm liên tiếp ta nên chọn loại biểu đồ nào?,Biểu đồ cột,Biểu đồ tròn,Biểu đồ đường (Line),Biểu đồ radar,C,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_07,E1_Bieu_do,Khi vẽ biểu đồ nếu không bôi đen hàng tiêu đề (Header) của bảng dữ liệu thì điều gì sẽ xảy ra?,Excel sẽ không vẽ được biểu đồ,Biểu đồ sẽ không có tên các đối tượng (Series) ở phần chú giải mà chỉ hiện Series 1 Series 2...,Biểu đồ sẽ bị sai số liệu,Máy tính sẽ bị treo,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_08,E1_Bieu_do,Phần "Legend" (Chú giải) trong biểu đồ có tác dụng gì?,Giải thích ý nghĩa của các màu sắc/kí hiệu đại diện cho chuỗi dữ liệu nào,Hiển thị giá trị cụ thể trên cột,Đặt tên cho trục hoành,Thay đổi màu nền,A,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_09,E1_Bieu_do,Nếu dữ liệu nguồn thay đổi (ví dụ: sửa con số trong bảng tính) thì biểu đồ đã vẽ sẽ như thế nào?,Giữ nguyên không đổi,Tự động cập nhật thay đổi theo dữ liệu nguồn,Biến mất,Báo lỗi,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_10,E1_Bieu_do,Em muốn vẽ biểu đồ thể hiện "Cơ cấu xếp loại học lực" của lớp (Giỏi: 10% Khá: 40%...). Em bôi đen cột "Xếp loại" và cột "Số lượng" rồi chọn biểu đồ nào?,Column Chart,Line Chart,Pie Chart,Bar Chart,C,Vận dụng,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_11,E1_Bieu_do,Biểu đồ cột của em đang hiển thị cột "Doanh thu" rất thấp khó nhìn vì đơn vị trục tung quá lớn. Em cần chỉnh sửa thành phần nào để biểu đồ rõ hơn?,Xóa biểu đồ vẽ lại,Chỉnh sửa thang đo (Scale/Axis Options) của trục tung (Vertical Axis),Đổi màu cột,Chuyển sang biểu đồ tròn,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 3
K8E1_B3_12,E1_Bieu_do,Để so sánh chiều cao của 5 bạn học sinh trong tổ biểu đồ nào sau đây là trực quan nhất?,Biểu đồ tròn,Biểu đồ cột,Biểu đồ đường,Biểu đồ vùng,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 3
q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8E1_B5_01,E1_Truc_quan_hoa,Thao tác "Add Chart Element" (Thêm thành phần biểu đồ) dùng để làm gì?,Thêm tiêu đề trục nhãn dữ liệu hoặc đường lưới vào biểu đồ,Thêm một biểu đồ mới,Xóa biểu đồ,Lưu biểu đồ,A,Nhận biết,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_02,E1_Truc_quan_hoa,Để hiển thị giá trị con số cụ thể trên đỉnh mỗi cột của biểu đồ ta cần thêm thành phần nào?,Axis Titles (Tiêu đề trục),Data Labels (Nhãn dữ liệu),Legend (Chú giải),Gridlines (Đường lưới),B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_03,E1_Truc_quan_hoa,Muốn thay đổi vị trí của Chú giải (Legend) từ bên phải xuống dưới đáy biểu đồ ta vào đâu?,Format Legend -> chọn Bottom,Format Legend -> chọn Top,Format Legend -> chọn Right,Không thể di chuyển được,A,Nhận biết,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_04,E1_Truc_quan_hoa,Chức năng "Switch Row/Column" trong dải lệnh Design có tác dụng gì?,Xóa hàng và cột,Hoán đổi vai trò của hàng và cột trong biểu đồ (trục hoành và chú giải đổi chỗ cho nhau),Thay đổi màu sắc biểu đồ,Thay đổi kiểu biểu đồ,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_05,E1_Truc_quan_hoa,Để đổi kiểu biểu đồ (ví dụ từ Cột sang Đường) mà không cần vẽ lại ta chọn lệnh nào?,Move Chart,Change Chart Type,Select Data,Format Plot Area,B,Nhận biết,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_06,E1_Truc_quan_hoa,Khi nào thì ta cần sử dụng trục tung phụ (Secondary Axis) trong biểu đồ kết hợp (Combo Chart)?,Khi biểu đồ quá xấu,Khi cần biểu diễn hai chuỗi dữ liệu có đơn vị tính khác nhau hoặc chênh lệch giá trị quá lớn (ví dụ: Số lượng và Doanh thu),Khi muốn vẽ 2 biểu đồ tròn,Khi không có dữ liệu,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_07,E1_Truc_quan_hoa,Một biểu đồ tốt (trực quan hóa hiệu quả) cần đảm bảo yếu tố nào?,Càng nhiều màu sắc sặc sỡ càng tốt,Đơn giản rõ ràng có đầy đủ tiêu đề chú giải và nhãn dữ liệu cần thiết để người xem dễ hiểu,Dùng nhiều hiệu ứng 3D phức tạp,Không cần tiêu đề,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_08,E1_Truc_quan_hoa,Tại sao khi vẽ biểu đồ tròn ta không nên dùng quá nhiều lát cắt nhỏ (quá nhiều thành phần)?,Vì Excel không vẽ được,Vì sẽ làm biểu đồ bị rối khó so sánh và các chú giải bị chồng chéo,Vì tốn mực in,Vì biểu đồ sẽ bị méo,B,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_09,E1_Truc_quan_hoa,Lệnh "Move Chart" -> "New Sheet" dùng để làm gì?,Di chuyển biểu đồ sang một trang tính mới riêng biệt (giúp biểu đồ to và rõ hơn),Di chuyển biểu đồ xuống cuối trang hiện tại,Sao chép biểu đồ sang Word,Xóa biểu đồ,A,Thông hiểu,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_10,E1_Truc_quan_hoa,Em vẽ biểu đồ cột so sánh điểm Toán và Văn. Cột điểm Toán màu Xanh, Văn màu Cam. Nhưng chú giải (Legend) lại ghi là "Series 1" và "Series 2". Em cần làm gì để sửa thành "Toán" và "Văn"?,Sửa trực tiếp tên cột trong bảng dữ liệu nguồn hoặc dùng Select Data để sửa tên Series,Gõ đè chữ lên biểu đồ,Vẽ lại biểu đồ mới,Đổi màu cột,A,Vận dụng,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_11,E1_Truc_quan_hoa,Quan sát biểu đồ nhiệt độ: Đường biểu diễn đi xuống thấp nhất vào tháng 1 và lên cao nhất vào tháng 6. Em rút ra nhận xét gì?,Nhiệt độ giảm dần từ đầu năm đến cuối năm,Tháng 1 lạnh nhất và tháng 6 nóng nhất,Tháng 1 nóng nhất,Biểu đồ bị vẽ sai,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 5
K8E1_B5_12,E1_Truc_quan_hoa,Để báo cáo doanh số bán hàng cho Giám đốc em nên chọn cách trình bày nào để thuyết phục nhất?,Chỉ đưa bảng số liệu chi tiết dài 10 trang,Sử dụng biểu đồ tổng hợp (Cột/Tròn) kèm theo bảng số liệu tóm tắt để làm nổi bật kết quả,Viết một bài văn miêu tả,Chỉ đưa hình ảnh sản phẩm,B,Vận dụng,Tin 8 - Chủ đề E1 - Bài 5
