q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8C2_03,C_Khai_thac_thong_tin,Thông tin "chính thống" thường xuất phát từ đâu?,Từ những lời đồn thổi,Từ các tổ chức cơ quan nhà nước hoặc đơn vị có thẩm quyền,Từ các trang quảng cáo bán hàng,Từ các tài khoản mạng xã hội ẩn danh,B,Nhận biết,Tin 8 – Chủ đề C – Bài 2 [cite: 93]
K8C2_04,C_Khai_thac_thong_tin,Dấu hiệu nào giúp nhận biết một tin tức có thể là "tin giả" (fake news)?,Tiêu đề giật gân viết hoa toàn bộ nội dung kích động,Bài viết trên báo điện tử uy tín,Có ghi rõ tên tác giả và ngày tháng,Nội dung văn phong trang trọng,A,Nhận biết,Tin 8 – Chủ đề C – Bài 2 [cite: 93]
K8C2_05,C_Khai_thac_thong_tin,Một trong những lợi ích của "Dữ liệu lớn" (Big Data) đối với doanh nghiệp là gì?,Giúp doanh nghiệp phá sản nhanh hơn,Giúp phân tích xu hướng khách hàng để đưa ra chiến lược kinh doanh hiệu quả,Làm đầy bộ nhớ máy chủ,Không có tác dụng gì,B,Nhận biết,Tin 8 – Chủ đề C – Bài 2 [cite: 97]
K8C2_06,C_Khai_thac_thong_tin,Tại sao thông tin tìm được trên Internet không phải lúc nào cũng đúng?,Vì Internet là môi trường mở ai cũng có thể đăng tin kể cả tin sai lệch,Vì máy tính luôn tính toán sai,Vì Internet chỉ dành cho trẻ em,Vì mạng Internet quá chậm,A,Thông hiểu,Tin 8 – Chủ đề C – Bài 2 [cite: 97]
K8C2_07,C_Khai_thac_thong_tin,Việc kiểm tra "thời gian đăng bài" có ý nghĩa gì khi đánh giá độ tin cậy?,Để biết tác giả dậy sớm hay muộn,Để đảm bảo thông tin còn tính thời sự và không bị lỗi thời,Để tính tuổi của tác giả,Không có ý nghĩa gì,B,Thông hiểu,Tin 8 – Chủ đề C – Bài 2 [cite: 93]
K8C2_08,C_Khai_thac_thong_tin,Đối với cơ quan quản lý nhà nước thông tin đáng tin cậy giúp ích gì?,Giúp đưa ra các chính sách phù hợp ảnh hưởng tích cực đến người dân,Giúp tăng số lượng người truy cập web,Giúp giảm giá thành máy tính,Giúp giải trí sau giờ làm việc,A,Thông hiểu,Tin 8 – Chủ đề C – Bài 2 [cite: 97]
K8C2_09,C_Khai_thac_thong_tin,So với việc hỏi một người qua đường việc tra cứu bản đồ số trên điện thoại có ưu điểm gì về "độ tin cậy"?,Luôn luôn đúng 100% không bao giờ sai,Dữ liệu được cập nhật từ vệ tinh và tổ chức bản đồ nên thường khách quan và chính xác hơn,Tốn pin điện thoại hơn,Khó sử dụng hơn,B,Thông hiểu,Tin 8 – Chủ đề C – Bài 2 [cite: 148]
K8C2_10,C_Khai_thac_thong_tin,Em đang tìm hiểu về quy chế tuyển sinh vào lớp 10. Em nên tin vào nguồn nào nhất?,Bài đăng trong nhóm "Hội những người lo lắng thi cử",Thông báo chính thức trên website của Sở Giáo dục và Đào tạo,Lời kể của một người hàng xóm,Video trên TikTok của một bạn học sinh,B,Vận dụng,Tin 8 – Chủ đề C – Bài 2 [cite: 139]
K8C2_11,C_Khai_thac_thong_tin,Khi đọc được tin "Ngày mai sẽ có bão lớn đổ bộ" trên Facebook em nên làm gì trước khi chia sẻ?,Chia sẻ ngay cho mọi người cùng biết,Bình luận hỏi xem ai đăng bài,Kiểm tra lại thông tin trên các trang báo chính thống hoặc trang Dự báo khí tượng thủy văn,Không quan tâm vì bão không ảnh hưởng đến mình,C,Vận dụng,Tin 8 – Chủ đề C – Bài 2 [cite: 97]
K8C2_12,C_Khai_thac_thong_tin,Trong y tế việc bác sĩ dựa vào hồ sơ bệnh án điện tử chính xác thay vì lời kể mơ hồ của bệnh nhân giúp ích gì?,Giúp bác sĩ đỡ phải hỏi nhiều,Giúp chẩn đoán chính xác bệnh và đưa ra phác đồ điều trị hiệu quả cứu sống người bệnh,Giúp bệnh viện thu nhiều tiền hơn,Giúp bệnh nhân ra về sớm,B,Vận dụng,Tin 8 – Chủ đề C – Bài 2 [cite: 130]
